fecha,views,profile_views,likes,comments,shares,viewers_total,viewers_new,viewers_returning,followers_total,followers_diff
2025-11-26,4,0,0,-1,0,7,3,4,360,0
2025-11-27,1,0,0,0,0,2,1,1,360,0
2025-11-28,0,0,0,0,0,1,1,0,359,-1
2025-11-29,3,0,0,0,0,0,0,0,359,0
2025-11-30,3,0,0,0,0,2,1,1,359,0
2025-12-01,7,1,0,0,0,2,2,0,359,0
2025-12-02,1,0,0,0,0,2,1,1,359,0
2025-12-03,4,0,0,0,0,2,1,1,359,0
2025-12-04,30,1,0,0,0,3,2,1,359,0
2025-12-05,7,0,0,0,0,3,2,1,359,0
2025-12-06,6,0,0,0,0,6,4,2,359,0
2025-12-07,2,0,0,0,0,5,5,0,359,0
2025-12-08,1,0,0,0,0,2,1,1,359,0
2025-12-09,2,2,0,0,0,2,2,0,359,0
2025-12-10,5,2,0,0,0,2,0,2,359,0
2025-12-11,2,0,0,0,0,4,4,0,359,0
2025-12-12,12,2,0,0,0,1,1,0,359,0
2025-12-13,6,0,0,0,0,6,4,2,359,0
2025-12-14,11,0,0,0,0,4,4,0,359,0
2025-12-15,6,0,0,-1,0,8,8,0,359,0
2025-12-16,3,0,0,-1,0,4,4,0,359,0
2025-12-17,5,1,0,0,0,4,2,2,359,0
2025-12-18,2,1,0,-1,0,3,1,2,359,0
2025-12-19,132,61,0,0,0,2,0,2,359,0
2025-12-20,35,11,0,0,0,28,22,6,359,0
2025-12-21,1,6,0,0,0,8,7,1,359,0
2025-12-22,4,1,0,-1,0,1,0,1,359,0
2025-12-23,8,3,0,0,0,1,0,1,359,0
2025-12-24,5,1,0,0,0,5,4,1,359,0
2025-12-25,504,9,33,1,0,5,3,2,359,0
2025-12-26,77,4,1,0,0,406,296,110,359,0
2025-12-27,32,4,0,0,0,58,23,35,359,0
2025-12-28,28,4,1,0,0,23,7,16,359,0
2025-12-29,5,0,1,0,0,18,4,14,359,0
2025-12-30,27,3,0,0,0,6,1,5,359,0
2025-12-31,8,2,0,0,0,12,5,7,359,0
2026-01-01,38,1,0,0,0,7,3,4,359,0
2026-01-02,10,2,0,0,0,7,3,4,359,0
2026-01-03,18,1,0,0,0,3,2,1,359,0
2026-01-04,4,0,0,0,0,7,3,4,359,0
2026-01-05,2,0,0,0,0,4,1,3,359,0
2026-01-06,4,0,0,0,0,2,0,2,359,0
2026-01-07,10,2,0,0,0,2,2,0,359,0
2026-01-08,4,0,0,0,0,6,2,4,359,0
2026-01-09,6,1,0,0,0,3,2,1,359,0
2026-01-10,17,1,1,0,0,5,3,2,359,0
2026-01-11,23,2,0,0,0,3,1,2,359,0
2026-01-12,1,2,0,0,0,6,2,4,359,0
2026-01-13,5,1,0,0,0,1,0,1,359,0
2026-01-14,27,2,2,0,0,5,3,2,359,0
2026-01-15,8,1,0,0,0,2,0,2,359,0
2026-01-16,3,1,0,0,0,6,1,5,359,0
2026-01-17,5,1,0,0,0,3,1,2,359,0
2026-01-18,8,0,0,0,0,4,2,2,359,0
2026-01-19,6,0,0,0,0,5,3,2,359,0
2026-01-20,518,15,24,3,2,5,2,3,359,0
2026-01-21,181,10,5,1,0,355,180,175,360,1
2026-01-22,88,6,0,0,2,95,8,87,360,0
2026-01-23,61,3,0,0,0,46,12,34,360,0
2026-01-24,24,0,0,0,0,35,11,24,360,0
2026-01-25,30,2,0,0,0,23,6,17,360,0
2026-01-26,35,2,0,0,0,24,3,21,360,0
2026-01-27,20,1,0,0,0,21,7,14,360,0
2026-01-28,23,1,1,0,0,16,6,10,360,0
2026-01-29,57,1,0,0,0,13,4,9,361,1
2026-01-30,9,0,0,0,0,10,0,10,361,0
2026-01-31,12,0,0,0,0,8,6,2,361,0
2026-02-01,16,1,1,0,0,11,3,8,361,0
2026-02-02,415,11,40,6,0,13,6,7,362,1
2026-02-03,297,5,22,2,0,304,102,202,362,0
2026-02-04,718,6,30,4,0,173,65,108,361,-1
2026-02-05,62,6,6,0,0,580,467,113,362,1
2026-02-06,325,7,25,2,0,40,5,35,362,0
2026-02-07,46,0,1,0,0,236,131,105,362,0
2026-02-08,29,0,2,0,0,28,5,23,362,0
2026-02-09,74,3,1,0,0,15,3,12,362,0
2026-02-10,843,7,35,1,0,64,57,7,362,0
2026-02-11,53,0,0,0,0,748,628,120,362,0
2026-02-12,57,3,4,0,0,41,6,35,362,0
2026-02-13,678,10,25,4,1,33,7,26,362,0
2026-02-14,203,10,12,1,0,571,470,101,363,1
2026-02-15,947,15,39,4,0,125,7,118,364,1
2026-02-16,620,10,18,0,0,762,588,174,366,2
